"","x"
"1","2385696"
"2","2406361"
"3","2536508"
"4","2568968"
"5","2626097"
"6","2672467"
"7","2674432"
"8","2759158"
"9","2804221"
"10","2831519"
"11","3017068"
"12","3048778"
"13","3155489"
"14","3157311"
"15","3243708"
"16","3275139"
"17","3302740"
"18","3336422"
"19","3337168"
"20","3354095"
"21","3405587"
"22","3428268"
"23","3500787"
"24","3699810"
"25","3818376"
"26","3843934"
"27","3873824"
"28","3890913"
"29","3980614"
"30","3475038"
"31","2674317"
"32","2565935"
"33","2968401"
"34","3551851"
"35","3556202"
"36","3214800"
"37","3809690"
"38","3556110"
"39","3096512"
"40","3556158"
"41","3749734"
"42","2968434"
"43","2536332"
"44","3556274"
