"","x"
"1","2320411"
"2","2320727"
"3","2326463"
"4","2326485"
"5","2330723"
"6","2331511"
"7","2331903"
"8","2332812"
"9","2333677"
"10","2335048"
"11","2336706"
"12","2340078"
"13","2349129"
"14","2351063"
"15","2351787"
"16","2353669"
"17","2354634"
"18","2359664"
"19","2360677"
"20","2360700"
"21","2368590"
"22","2378325"
"23","2378710"
"24","2381177"
"25","2382970"
"26","2385696"
"27","2386747"
"28","2387126"
"29","2389834"
"30","2394817"
"31","2396781"
"32","2397025"
"33","2400373"
"34","2401347"
"35","2403301"
"36","2404958"
"37","2406261"
"38","2406291"
"39","2406333"
"40","2406361"
"41","2406926"
"42","2413685"
"43","2414366"
"44","2421995"
"45","2422722"
"46","2423175"
"47","2426951"
"48","2431112"
"49","2434178"
"50","2435005"
"51","2436378"
"52","2436460"
"53","2437086"
"54","2437801"
"55","2453307"
"56","2454140"
"57","2457261"
"58","2458082"
"59","2460817"
"60","2461037"
"61","2465728"
"62","2473991"
"63","2485636"
"64","2505386"
"65","2515240"
"66","2522247"
"67","2526806"
"68","2527747"
"69","2531129"
"70","2531589"
"71","2536468"
"72","2536508"
"73","2536757"
"74","2545681"
"75","2547454"
"76","2547716"
"77","2554018"
"78","2559189"
"79","2562271"
"80","2565271"
"81","2568968"
"82","2576554"
"83","2584520"
"84","2584787"
"85","2592598"
"86","2599303"
"87","2601230"
"88","2609824"
"89","2610094"
"90","2611056"
"91","2617276"
"92","2617659"
"93","2626097"
"94","2631940"
"95","2632832"
"96","2634919"
"97","2636319"
"98","2648305"
"99","2649367"
"100","2660029"
"101","2672467"
"102","2674335"
"103","2674432"
"104","2676636"
"105","2678400"
"106","2678448"
"107","2703462"
"108","2705706"
"109","2709750"
"110","2721087"
"111","2736224"
"112","2739792"
"113","2748605"
"114","2759158"
"115","2764004"
"116","2773545"
"117","2784074"
"118","2786322"
"119","2786732"
"120","2796875"
"121","2804221"
"122","2812359"
"123","2812591"
"124","2815331"
"125","2831519"
"126","2832963"
"127","2834503"
"128","2835848"
"129","2840574"
"130","2844301"
"131","2844313"
"132","2844453"
"133","2868904"
"134","2875529"
"135","2893721"
"136","2897453"
"137","2900059"
"138","2901807"
"139","2910477"
"140","2913123"
"141","2916825"
"142","2920906"
"143","2927722"
"144","2929036"
"145","2931700"
"146","2942504"
"147","2946219"
"148","2947063"
"149","2948648"
"150","2948790"
"151","2949330"
"152","2949885"
"153","2957596"
"154","2966496"
"155","2970607"
"156","2977265"
"157","2995320"
"158","2996563"
"159","3002640"
"160","3005266"
"161","3015395"
"162","3015682"
"163","3017068"
"164","3018309"
"165","3019793"
"166","3023103"
"167","3023318"
"168","3026216"
"169","3027961"
"170","3031517"
"171","3031624"
"172","3039177"
"173","3042012"
"174","3048778"
"175","3051753"
"176","3053451"
"177","3057755"
"178","3059393"
"179","3060095"
"180","3061438"
"181","3063083"
"182","3066818"
"183","3079005"
"184","3080843"
"185","3086044"
"186","3086774"
"187","3087703"
"188","3094778"
"189","3102372"
"190","3103062"
"191","3103745"
"192","3104698"
"193","3110055"
"194","3111485"
"195","3127745"
"196","3129065"
"197","3132616"
"198","3133135"
"199","3134828"
"200","3155489"
"201","3157311"
"202","3160500"
"203","3165057"
"204","3195034"
"205","3197014"
"206","3197140"
"207","3201345"
"208","3204174"
"209","3212356"
"210","3214227"
"211","3219885"
"212","3237352"
"213","3240012"
"214","3242555"
"215","3243708"
"216","3255361"
"217","3256192"
"218","3262715"
"219","3275139"
"220","3275398"
"221","3275422"
"222","3275546"
"223","3275600"
"224","3277468"
"225","3279089"
"226","3282463"
"227","3300211"
"228","3301218"
"229","3302740"
"230","3303165"
"231","3305801"
"232","3315487"
"233","3319307"
"234","3320717"
"235","3322077"
"236","3332465"
"237","3334087"
