"","auto.features"
"1","3302740"
"2","2831519"
"3","3354095"
"4","2804221"
"5","3155489"
"6","3500787"
"7","3843934"
"8","3749734"
"9","3017068"
"10","3873824"
"11","3428268"
"12","3980614"
"13","2672467"
"14","3157311"
"15","3096512"
"16","2536508"
"17","2674432"
"18","3048778"
"19","2385696"
"20","2406361"
"21","3556110"
"22","3699810"
"23","3556158"
"24","3475038"
"25","3890913"
"26","2674317"
"27","3556274"
"28","2565935"
"29","3214800"
"30","2626097"
"31","2568968"
"32","3337168"
"33","2968434"
"34","3243708"
"35","3336422"
"36","2968401"
"37","3818376"
"38","3556202"
"39","3275139"
"40","2536332"
"41","2759158"
"42","3405587"
"43","3809690"
"44","3551851"
