"","x"
"1","2385696"
"2","2406361"
"3","2531129"
"4","2568968"
"5","2601230"
"6","2672467"
"7","2674432"
"8","2773545"
"9","2804221"
"10","2815331"
"11","2844453"
"12","3005266"
"13","3017068"
"14","3048778"
"15","3061438"
"16","3103062"
"17","3104698"
"18","3134828"
"19","3157311"
"20","3279089"
"21","3336422"
"22","3337168"
"23","3346453"
"24","3352040"
"25","3354095"
"26","3405587"
"27","3428268"
"28","3500787"
"29","3585272"
"30","3632862"
"31","3708874"
"32","3744589"
"33","3780271"
"34","3808600"
"35","3818376"
"36","3843934"
"37","3890913"
"38","3475038"
"39","2674317"
"40","3556094"
"41","2968399"
"42","2565935"
"43","2968401"
"44","2968349"
"45","3551851"
"46","3556202"
"47","3214800"
"48","3407583"
"49","3809690"
"50","3556110"
"51","3096512"
"52","2359439"
"53","3556158"
"54","2968436"
"55","3749734"
"56","2968434"
"57","2536332"
"58","3556274"
