"","x"
"1","2315894"
"2","2316379"
"3","2316558"
"4","2317246"
"5","2317317"
"6","2317434"
"7","2317686"
"8","2318170"
"9","2318455"
"10","2318744"
"11","2318807"
"12","2318811"
"13","2318819"
"14","2318841"
"15","2319518"
"16","2319550"
"17","2320048"
"18","2320052"
"19","2320058"
"20","2320060"
"21","2320068"
"22","2320069"
"23","2320070"
"24","2320075"
"25","2320077"
"26","2320088"
"27","2320128"
"28","2320140"
"29","2320392"
"30","2320619"
"31","2320727"
"32","2320762"
"33","2321040"
"34","2321182"
"35","2321849"
"36","2321911"
"37","2322389"
"38","2323172"
"39","2323559"
"40","2323790"
"41","2323899"
"42","2323951"
"43","2324084"
"44","2324341"
"45","2324919"
"46","2325002"
"47","2325197"
"48","2325198"
"49","2325200"
"50","2325203"
"51","2325212"
"52","2325218"
"53","2325251"
"54","2325290"
"55","2325410"
"56","2325526"
"57","2326157"
"58","2326286"
"59","2326410"
"60","2326463"
"61","2326640"
"62","2326707"
"63","2327188"
"64","2327219"
"65","2327259"
"66","2327603"
"67","2327630"
"68","2327817"
"69","2328484"
"70","2328492"
"71","2328502"
"72","2328504"
"73","2328531"
"74","2328537"
"75","2328633"
"76","2328674"
"77","2328713"
"78","2328868"
"79","2328936"
"80","2329041"
"81","2329131"
"82","2329196"
"83","2329669"
"84","2329752"
"85","2329887"
"86","2330075"
"87","2330334"
"88","2330393"
"89","2330687"
"90","2331771"
"91","2331822"
"92","2331903"
"93","2332091"
"94","2332144"
"95","2332528"
"96","2332711"
"97","2333429"
"98","2333599"
"99","2333658"
"100","2333669"
"101","2333671"
"102","2333672"
"103","2333673"
"104","2333675"
"105","2333676"
"106","2333907"
"107","2334279"
"108","2334706"
"109","2335014"
"110","2335671"
"111","2336302"
"112","2336650"
"113","2336706"
"114","2336891"
"115","2336963"
"116","2337285"
"117","2337407"
"118","2338487"
"119","2338719"
"120","2339511"
"121","2339682"
"122","2339740"
"123","2339786"
"124","2339997"
"125","2340695"
"126","2340961"
"127","2341387"
"128","2341565"
"129","2341663"
"130","2342176"
"131","2342220"
"132","2342475"
"133","2342624"
"134","2343025"
"135","2343170"
"136","2343473"
"137","2344984"
"138","2345061"
"139","2345196"
"140","2345286"
"141","2345617"
"142","2346023"
"143","2346934"
"144","2347096"
"145","2347625"
"146","2347732"
"147","2347788"
"148","2348437"
"149","2348634"
"150","2348757"
"151","2348962"
"152","2349129"
"153","2349848"
"154","2350339"
"155","2350551"
"156","2350596"
"157","2350840"
"158","2350952"
"159","2351171"
"160","2351294"
"161","2351393"
"162","2351572"
"163","2351632"
"164","2351687"
"165","2351940"
"166","2352169"
"167","2352501"
"168","2352609"
"169","2353021"
"170","2353337"
"171","2353717"
"172","2353773"
"173","2353988"
"174","2354082"
"175","2354634"
"176","2355615"
"177","2356115"
"178","2356721"
"179","2356818"
"180","2357996"
"181","2358044"
"182","2358153"
"183","2358221"
"184","2358360"
"185","2358520"
"186","2358693"
"187","2358700"
"188","2358743"
"189","2358855"
"190","2358906"
"191","2358949"
"192","2359036"
"193","2359431"
"194","2359439"
"195","2359664"
"196","2360083"
"197","2360158"
"198","2360206"
"199","2360647"
"200","2360700"
"201","2360773"
"202","2360939"
"203","2361036"
"204","2361488"
"205","2362276"
"206","2362537"
