"","x"
"1","2316245"
"2","2316379"
"3","2316746"
"4","2317434"
"5","2318086"
"6","2318364"
"7","2318416"
"8","2318656"
"9","2318736"
"10","2318743"
"11","2318744"
"12","2318746"
"13","2318747"
"14","2318754"
"15","2318759"
"16","2318765"
"17","2318767"
"18","2318769"
"19","2318771"
"20","2318773"
"21","2318777"
"22","2318785"
"23","2318789"
"24","2318793"
"25","2318797"
"26","2318799"
"27","2318801"
"28","2318803"
"29","2318807"
"30","2318809"
"31","2318811"
"32","2318817"
"33","2318819"
"34","2318823"
"35","2318825"
"36","2318827"
"37","2318829"
"38","2318835"
"39","2318837"
"40","2318839"
"41","2318843"
"42","2318849"
"43","2318851"
"44","2318853"
"45","2318869"
"46","2319135"
"47","2319518"
"48","2319550"
"49","2319560"
"50","2319661"
"51","2319802"
"52","2319881"
"53","2320051"
"54","2320060"
"55","2320062"
"56","2320065"
"57","2320066"
"58","2320068"
"59","2320096"
"60","2320102"
"61","2320108"
"62","2320112"
"63","2320114"
"64","2320116"
"65","2320118"
"66","2320120"
"67","2320124"
"68","2320128"
"69","2320132"
"70","2320134"
"71","2320136"
"72","2320138"
"73","2320140"
"74","2320142"
"75","2320144"
"76","2320146"
"77","2320148"
"78","2320150"
"79","2320188"
"80","2320210"
"81","2320347"
"82","2320472"
"83","2320581"
"84","2320619"
"85","2320762"
"86","2321011"
"87","2321040"
"88","2321058"
"89","2321238"
"90","2321466"
"91","2321645"
"92","2321779"
"93","2321828"
"94","2321960"
"95","2322103"
"96","2322362"
"97","2322894"
"98","2323743"
"99","2323774"
"100","2324097"
"101","2324634"
"102","2325002"
"103","2325113"
"104","2325198"
"105","2325200"
"106","2325201"
"107","2325203"
"108","2325205"
"109","2325212"
"110","2325214"
"111","2325216"
"112","2325218"
"113","2325220"
"114","2325222"
"115","2325274"
"116","2325290"
"117","2325358"
"118","2325410"
"119","2325877"
"120","2326049"
"121","2326126"
"122","2326157"
"123","2326327"
"124","2326485"
"125","2326496"
"126","2326531"
"127","2326749"
"128","2326846"
"129","2326912"
"130","2326954"
"131","2327219"
"132","2327418"
"133","2327572"
"134","2328236"
"135","2328465"
"136","2328476"
"137","2328477"
"138","2328484"
"139","2328486"
"140","2328488"
"141","2328489"
"142","2328492"
"143","2328496"
"144","2328499"
"145","2328500"
"146","2328503"
"147","2328511"
"148","2328513"
"149","2328517"
"150","2328519"
"151","2328523"
"152","2328525"
"153","2328527"
"154","2328531"
"155","2328533"
"156","2328535"
"157","2328537"
"158","2328539"
"159","2328541"
"160","2328543"
"161","2328549"
"162","2328551"
"163","2328555"
"164","2328557"
"165","2328559"
"166","2328561"
"167","2328563"
"168","2328565"
"169","2328569"
"170","2328575"
"171","2328577"
"172","2328587"
"173","2328589"
"174","2328591"
"175","2328593"
"176","2328595"
"177","2328597"
"178","2328599"
"179","2328601"
"180","2328603"
"181","2328605"
"182","2328611"
"183","2328617"
"184","2328619"
"185","2328621"
"186","2328623"
"187","2328674"
"188","2328808"
"189","2328909"
"190","2329131"
"191","2329266"
"192","2329386"
"193","2329481"
"194","2329752"
"195","2329887"
"196","2330075"
"197","2330289"
"198","2330334"
"199","2330773"
"200","2331158"
"201","2331178"
"202","2331213"
"203","2331727"
"204","2331857"
"205","2331974"
"206","2332481"
"207","2332528"
"208","2332999"
"209","2333429"
"210","2333658"
"211","2333663"
"212","2333669"
"213","2333671"
"214","2333672"
"215","2333678"
"216","2333777"
"217","2333794"
"218","2333907"
"219","2334098"
"220","2334314"
"221","2334476"
"222","2334602"
"223","2334646"
"224","2334932"
"225","2334986"
"226","2335132"
"227","2335671"
"228","2335922"
"229","2335986"
"230","2336099"
"231","2336271"
"232","2336375"
"233","2336383"
"234","2336456"
"235","2336497"
"236","2336539"
"237","2336585"
"238","2336891"
"239","2337003"
"240","2337285"
"241","2337327"
"242","2337392"
"243","2337716"
"244","2337786"
"245","2339334"
"246","2339454"
"247","2339997"
"248","2340350"
"249","2340529"
"250","2340695"
"251","2340819"
"252","2340930"
"253","2341387"
"254","2341565"
"255","2342475"
"256","2342665"
"257","2342904"
"258","2343025"
"259","2343231"
"260","2343334"
"261","2343511"
"262","2343823"
"263","2344393"
"264","2344511"
"265","2344577"
"266","2344731"
"267","2344984"
"268","2345023"
"269","2345061"
"270","2345095"
"271","2345286"
"272","2345816"
"273","2345880"
"274","2345929"
"275","2346575"
"276","2346863"
"277","2347023"
"278","2348060"
"279","2348514"
"280","2348854"
"281","2348992"
"282","2349086"
"283","2349211"
"284","2350316"
"285","2350391"
"286","2350489"
"287","2350551"
"288","2350596"
"289","2350714"
"290","2350880"
"291","2351121"
"292","2351294"
"293","2351687"
"294","2351763"
"295","2351817"
"296","2352106"
"297","2352228"
"298","2352743"
"299","2352758"
"300","2353021"
"301","2353067"
"302","2353237"
"303","2353283"
"304","2353396"
"305","2353477"
"306","2353669"
"307","2353749"
"308","2353773"
"309","2353881"
"310","2353988"
"311","2354365"
"312","2354433"
"313","2354553"
"314","2356100"
"315","2356205"
"316","2356218"
"317","2356658"
"318","2358153"
"319","2358171"
"320","2358221"
"321","2358320"
"322","2358646"
"323","2358693"
"324","2358736"
"325","2358993"
"326","2359036"
"327","2359113"
"328","2359302"
"329","2359433"
"330","2359444"
"331","2359453"
"332","2359504"
"333","2359521"
"334","2359691"
"335","2359736"
"336","2359780"
"337","2359817"
"338","2359993"
"339","2360186"
"340","2360310"
"341","2360633"
"342","2360989"
"343","2361154"
"344","2361241"
"345","2361257"
"346","2361447"
"347","2361472"
"348","2361584"
"349","2361635"
"350","2361731"
"351","2362180"
"352","2362201"
"353","2362230"
"354","2362270"
"355","2362276"
"356","2362282"
"357","2362323"
"358","2362333"
"359","2362351"
"360","2362469"
"361","2362591"
"362","2362651"
"363","2362746"
"364","2362892"
"365","2362950"
"366","2363042"
"367","2363084"
"368","2363202"
"369","2363248"
"370","2363424"
"371","2363525"
"372","2363679"
"373","2363852"
"374","2363876"
"375","2363919"
"376","2364016"
"377","2364381"
"378","2364438"
"379","2364677"
"380","2365086"
"381","2365119"
"382","2365181"
"383","2365391"
"384","2365496"
"385","2365933"
"386","2366028"
"387","2366184"
"388","2366287"
"389","2366355"
"390","2366422"
"391","2366581"
"392","2366884"
"393","2366941"
"394","2367050"
"395","2367086"
"396","2367154"
"397","2367495"
"398","2367599"
"399","2367743"
"400","2368492"
"401","2368590"
"402","2368840"
"403","2369110"
"404","2369252"
"405","2369325"
"406","2369609"
"407","2369680"
"408","2369796"
"409","2369843"
"410","2370032"
"411","2370123"
"412","2370355"
"413","2370433"
"414","2370804"
"415","2370823"
"416","2371139"
"417","2371255"
"418","2371346"
"419","2371547"
"420","2371873"
"421","2372103"
"422","2372211"
"423","2372719"
"424","2372812"
"425","2373406"
"426","2373465"
"427","2373494"
"428","2373511"
"429","2373842"
"430","2374126"
"431","2374345"
"432","2374604"
"433","2374872"
"434","2374926"
"435","2375038"
"436","2375212"
"437","2375596"
"438","2375706"
"439","2375795"
"440","2375810"
"441","2376168"
"442","2376548"
"443","2376894"
"444","2376988"
"445","2377020"
"446","2377035"
"447","2377141"
"448","2377165"
"449","2377283"
"450","2377332"
"451","2378019"
"452","2378077"
"453","2378121"
"454","2378584"
"455","2378937"
"456","2379068"
"457","2379168"
"458","2379754"
"459","2379863"
"460","2380440"
"461","2381177"
"462","2381249"
"463","2381903"
"464","2382117"
"465","2382898"
"466","2383176"
"467","2383479"
"468","2383557"
"469","2383639"
"470","2383726"
"471","2383733"
"472","2383742"
"473","2383754"
"474","2383755"
"475","2383756"
"476","2383758"
"477","2383759"
"478","2383761"
"479","2383762"
"480","2383763"
"481","2383764"
"482","2383765"
"483","2383766"
"484","2383767"
"485","2383768"
"486","2383777"
"487","2383781"
"488","2383783"
"489","2383785"
"490","2383801"
"491","2383811"
"492","2383819"
"493","2383859"
"494","2383864"
"495","2383872"
"496","2383876"
"497","2383880"
"498","2383882"
"499","2383884"
"500","2383890"
"501","2383891"
"502","2383895"
"503","2383902"
"504","2384788"
"505","2385012"
"506","2385696"
"507","2385873"
"508","2385967"
"509","2386747"
"510","2386867"
"511","2386943"
"512","2387126"
"513","2387606"
"514","2387711"
"515","2388085"
"516","2388148"
"517","2388219"
"518","2388794"
"519","2388960"
"520","2389834"
"521","2389996"
"522","2390050"
"523","2390102"
"524","2390135"
"525","2390142"
"526","2390162"
"527","2390335"
"528","2390350"
"529","2390518"
"530","2391302"
"531","2391360"
"532","2391465"
"533","2391647"
"534","2391840"
"535","2393711"
"536","2394478"
"537","2394626"
"538","2394680"
"539","2394699"
"540","2394841"
"541","2395123"
"542","2395146"
"543","2395245"
"544","2395490"
"545","2395890"
"546","2395965"
"547","2396415"
"548","2396461"
"549","2396480"
"550","2396537"
"551","2396750"
"552","2397600"
"553","2398193"
"554","2398706"
"555","2398736"
"556","2398820"
"557","2398894"
"558","2399409"
"559","2399620"
"560","2399687"
"561","2399718"
"562","2399743"
"563","2399765"
"564","2399908"
"565","2400177"
"566","2400220"
"567","2400322"
"568","2400373"
"569","2400655"
"570","2401193"
"571","2401275"
"572","2401440"
"573","2401533"
"574","2401670"
"575","2401753"
"576","2402416"
"577","2402459"
"578","2402536"
"579","2402883"
"580","2403261"
"581","2403740"
"582","2404254"
"583","2404418"
"584","2404693"
"585","2404819"
"586","2404999"
"587","2405036"
"588","2405104"
"589","2405192"
"590","2405284"
"591","2405312"
"592","2405893"
"593","2406064"
"594","2406139"
"595","2406245"
"596","2406252"
"597","2406253"
"598","2406254"
"599","2406255"
"600","2406256"
"601","2406258"
"602","2406260"
"603","2406264"
"604","2406271"
"605","2406273"
"606","2406287"
"607","2406297"
"608","2406299"
"609","2406305"
"610","2406309"
"611","2406311"
"612","2406313"
"613","2406315"
"614","2406317"
"615","2406319"
"616","2406321"
"617","2406323"
"618","2406325"
"619","2406333"
"620","2406335"
"621","2406337"
"622","2406341"
"623","2406343"
"624","2406345"
"625","2406347"
"626","2406349"
"627","2406355"
"628","2406359"
"629","2406361"
"630","2406367"
"631","2406369"
"632","2406373"
"633","2406381"
"634","2406383"
"635","2406385"
"636","2406387"
"637","2406393"
"638","2406395"
"639","2406397"
"640","2406399"
"641","2406401"
"642","2406412"
"643","2406420"
"644","2406579"
"645","2406662"
"646","2406766"
"647","2407128"
"648","2407163"
"649","2407224"
"650","2407439"
"651","2407729"
"652","2407755"
"653","2407934"
"654","2408041"
"655","2408062"
"656","2408189"
"657","2408351"
"658","2408499"
"659","2408855"
"660","2408955"
"661","2409004"
"662","2409104"
"663","2409220"
"664","2409368"
"665","2409820"
"666","2410241"
"667","2410330"
"668","2410522"
"669","2410574"
"670","2411228"
"671","2411638"
"672","2412222"
"673","2412360"
"674","2412529"
"675","2412668"
"676","2412799"
"677","2413203"
"678","2413316"
"679","2413578"
"680","2413633"
"681","2413886"
"682","2413907"
"683","2414366"
"684","2414440"
"685","2414505"
"686","2414958"
"687","2414998"
"688","2415084"
"689","2415295"
"690","2416522"
"691","2417008"
"692","2417016"
"693","2417174"
"694","2417500"
"695","2417528"
"696","2417945"
"697","2418078"
"698","2418299"
"699","2418339"
"700","2418700"
"701","2419113"
"702","2419219"
"703","2419235"
"704","2420229"
"705","2420511"
"706","2420642"
"707","2420681"
"708","2420832"
"709","2421271"
"710","2421843"
"711","2421925"
"712","2422035"
"713","2422227"
"714","2422612"
"715","2423264"
"716","2423669"
"717","2425118"
"718","2426559"
"719","2426734"
"720","2426791"
"721","2426840"
"722","2427007"
"723","2427117"
"724","2427169"
"725","2427566"
"726","2427898"
"727","2428119"
"728","2428405"
"729","2428796"
"730","2429069"
"731","2429147"
"732","2429235"
"733","2429277"
"734","2429371"
"735","2429466"
"736","2429556"
"737","2429613"
"738","2429842"
"739","2430126"
"740","2430163"
"741","2430422"
"742","2431031"
"743","2431066"
"744","2431211"
"745","2431877"
"746","2431886"
"747","2432714"
"748","2433232"
"749","2433432"
"750","2433605"
"751","2434129"
"752","2434139"
"753","2434178"
"754","2434546"
"755","2434575"
"756","2434609"
"757","2434633"
"758","2434872"
"759","2434925"
"760","2435044"
"761","2435149"
"762","2435323"
"763","2435410"
"764","2435443"
"765","2435878"
"766","2435949"
"767","2435981"
"768","2436051"
"769","2436132"
"770","2436139"
"771","2436149"
"772","2436152"
"773","2436155"
"774","2436156"
"775","2436157"
"776","2436160"
"777","2436164"
"778","2436168"
"779","2436170"
"780","2436176"
"781","2436180"
"782","2436182"
"783","2436184"
"784","2436190"
"785","2436192"
"786","2436194"
"787","2436198"
"788","2436228"
"789","2436283"
"790","2436401"
"791","2436404"
"792","2436408"
"793","2436412"
"794","2436415"
"795","2436417"
"796","2436446"
"797","2436448"
"798","2436458"
"799","2436467"
"800","2436526"
"801","2436576"
"802","2436716"
"803","2436754"
"804","2437086"
"805","2437329"
"806","2437417"
"807","2437577"
"808","2437801"
"809","2437871"
"810","2438042"
"811","2438117"
"812","2438125"
"813","2438169"
"814","2438207"
"815","2438282"
"816","2438531"
"817","2438657"
"818","2438892"
"819","2438938"
"820","2439001"
"821","2439052"
"822","2439101"
"823","2439138"
"824","2439286"
"825","2439303"
"826","2439308"
"827","2439314"
"828","2439350"
"829","2439368"
"830","2439373"
"831","2439460"
"832","2439478"
"833","2439554"
"834","2439652"
"835","2439662"
"836","2439714"
"837","2439842"
"838","2439917"
"839","2439975"
"840","2440143"
"841","2440258"
"842","2440295"
"843","2440327"
"844","2440354"
"845","2440385"
"846","2440413"
"847","2440440"
"848","2440476"
"849","2440523"
"850","2440612"
"851","2440625"
"852","2440744"
"853","2440784"
"854","2441220"
"855","2441329"
"856","2441386"
"857","2442424"
"858","2442493"
"859","2442698"
"860","2442800"
"861","2442858"
"862","2442980"
"863","2443120"
"864","2443370"
"865","2443417"
"866","2443476"
"867","2443575"
"868","2443868"
"869","2443952"
"870","2444239"
"871","2444283"
"872","2444363"
"873","2444451"
"874","2444529"
"875","2444842"
"876","2444899"
"877","2445357"
"878","2445982"
"879","2446137"
"880","2446567"
"881","2447066"
"882","2447107"
"883","2447246"
"884","2447324"
"885","2447414"
"886","2447454"
"887","2447486"
"888","2447540"
"889","2447877"
"890","2448336"
"891","2449104"
"892","2449536"
"893","2449559"
"894","2449922"
"895","2450300"
"896","2450345"
"897","2450568"
"898","2450668"
"899","2450865"
"900","2451139"
"901","2451419"
"902","2451463"
"903","2451616"
"904","2451693"
"905","2451816"
"906","2451900"
"907","2451958"
"908","2452049"
"909","2452319"
"910","2452478"
"911","2452571"
"912","2452637"
"913","2452691"
"914","2452724"
"915","2452754"
"916","2452948"
"917","2452977"
"918","2453006"
"919","2453036"
"920","2453065"
"921","2453370"
"922","2454140"
"923","2454485"
"924","2454887"
"925","2455699"
"926","2456746"
"927","2457573"
"928","2457988"
"929","2458082"
"930","2458338"
"931","2458607"
"932","2458701"
"933","2458742"
"934","2458773"
"935","2459042"
"936","2459411"
"937","2459417"
"938","2459793"
"939","2460189"
"940","2460470"
"941","2460487"
"942","2460551"
"943","2460817"
"944","2461037"
"945","2461531"
"946","2461654"
"947","2462693"
"948","2463227"
"949","2463864"
"950","2464005"
"951","2464499"
"952","2465395"
"953","2465753"
"954","2465799"
"955","2465806"
"956","2465822"
"957","2465902"
"958","2466141"
"959","2466379"
"960","2466554"
"961","2466822"
"962","2467194"
"963","2467201"
"964","2467211"
"965","2467249"
"966","2468138"
"967","2468376"
"968","2468622"
"969","2468811"
"970","2469529"
"971","2469575"
"972","2470165"
"973","2470470"
"974","2470654"
"975","2471233"
"976","2471316"
"977","2471978"
"978","2473026"
"979","2473149"
"980","2473376"
"981","2473571"
"982","2473831"
"983","2474071"
"984","2474105"
"985","2474322"
"986","2474527"
"987","2474594"
"988","2474637"
"989","2475042"
"990","2475209"
"991","2475261"
"992","2475628"
"993","2475911"
"994","2477073"
"995","2477203"
"996","2477302"
"997","2477731"
"998","2478269"
"999","2478928"
"1000","2479350"
"1001","2479433"
"1002","2479640"
"1003","2479698"
"1004","2480168"
"1005","2480383"
"1006","2480589"
"1007","2481379"
"1008","2482211"
"1009","2482230"
"1010","2482316"
"1011","2482440"
"1012","2482505"
"1013","2482931"
"1014","2482941"
"1015","2482944"
"1016","2482946"
"1017","2484970"
"1018","2485176"
"1019","2485257"
"1020","2485636"
"1021","2485688"
"1022","2486811"
"1023","2487063"
"1024","2487527"
"1025","2487639"
"1026","2487696"
"1027","2488038"
"1028","2488732"
"1029","2488959"
"1030","2489007"
"1031","2489169"
"1032","2489258"
"1033","2489322"
"1034","2490299"
"1035","2490324"
"1036","2490351"
"1037","2491046"
"1038","2491271"
"1039","2491336"
"1040","2491572"
"1041","2491615"
"1042","2491686"
"1043","2492753"
"1044","2494447"
"1045","2494484"
"1046","2495121"
"1047","2495279"
"1048","2495446"
"1049","2495758"
"1050","2496382"
"1051","2496907"
"1052","2497018"
"1053","2497028"
"1054","2497082"
"1055","2497119"
"1056","2497161"
"1057","2497252"
"1058","2497301"
"1059","2498143"
"1060","2498806"
"1061","2498911"
"1062","2498977"
"1063","2499158"
"1064","2499234"
"1065","2500165"
"1066","2500275"
