"","x"
"1","2482932"
"2","2482933"
"3","3253443"
"4","3570050"
"5","2320071"
"6","3518169"
"7","4024373"
"8","2844250"
"9","3662236"
"10","2766429"
"11","2536362"
"12","4094247"
"13","3556308"
"14","4056650"
"15","2482940"
"16","2766427"
"17","2904703"
"18","3976639"
"19","2552643"
"20","3476330"
"21","3551709"
"22","2686775"
"23","2717101"
"24","2482937"
"25","3203162"
"26","3556254"
"27","2565902"
"28","4114579"
"29","2523572"
"30","2880905"
"31","2320069"
"32","3635159"
"33","3364723"
"34","3630185"
"35","3958255"
"36","2359439"
"37","4094797"
"38","2993643"
"39","3362734"
"40","4117552"
"41","3551725"
"42","3168245"
"43","2838042"
"44","3804452"
"45","3386217"
"46","3556138"
"47","3743502"
"48","2383829"
"49","3853193"
"50","3453732"
"51","3959787"
"52","3476741"
"53","4100336"
"54","3555887"
"55","3725862"
"56","2766433"
"57","3740770"
"58","4024420"
"59","2905118"
"60","2565203"
"61","2446240"
"62","2766424"
"63","2318455"
"64","2603460"
"65","3377893"
"66","3981735"
"67","3556148"
"68","2523573"
"69","2536313"
"70","3831195"
"71","2830861"
"72","3759540"
"73","2320070"
"74","3740648"
"75","3306591"
"76","3954989"
"77","3403045"
"78","2536361"
"79","3653266"
"80","2523575"
"81","2878461"
"82","3063035"
"83","3556278"
"84","2908474"
"85","2908505"
"86","3407824"
"87","3228545"
"88","3556110"
"89","3319313"
"90","3556218"
"91","3459716"
"92","3874584"
"93","3628469"
"94","3556140"
"95","2565935"
"96","3556322"
"97","3096512"
"98","3666732"
"99","3831280"
"100","3427834"
"101","3749584"
"102","3140763"
"103","3807501"
"104","3992521"
"105","3556306"
"106","3958258"
"107","2482930"
"108","2522439"
"109","3854066"
"110","3081613"
"111","3937755"
"112","2493992"
"113","3442249"
"114","3556320"
"115","3688112"
"116","3377465"
"117","3860229"
"118","2351632"
"119","3740509"
"120","2766437"
"121","3362768"
"122","2993658"
"123","2360083"
"124","3283991"
"125","2831591"
"126","3322087"
"127","3404636"
"128","3667766"
"129","2770469"
"130","3487432"
