"","x"
"1","3570050"
"2","2320071"
"3","3556308"
"4","2844250"
"5","2482932"
"6","2482933"
"7","3253443"
"8","3662236"
"9","4114579"
"10","3475038"
"11","2674317"
"12","3740648"
"13","2908474"
"14","2908505"
"15","3319313"
"16","3551689"
"17","3275404"
"18","3416492"
"19","3470422"
"20","3475030"
"21","2565269"
"22","2536402"
"23","3556094"
"24","2840752"
"25","3831302"
"26","2968399"
"27","3351767"
"28","3807488"
"29","3255513"
"30","3392880"
"31","2669979"
"32","3831178"
"33","2934274"
"34","3323824"
"35","3349660"
"36","3018484"
"37","3786868"
"38","2565935"
"39","2968401"
"40","3783565"
"41","3065740"
"42","2735027"
"43","3337042"
"44","2749380"
"45","3752271"
"46","3706659"
"47","2643217"
"48","3150579"
"49","3793827"
"50","2900940"
"51","4031692"
"52","2968349"
"53","3551851"
"54","3556202"
"55","2968377"
"56","2763154"
"57","3319323"
"58","3551855"
"59","4094247"
"60","4117552"
"61","3214800"
"62","3360401"
"63","4074842"
"64","2923661"
"65","3407583"
"66","2853426"
"67","3809690"
"68","2901712"
"69","3725856"
"70","3549757"
"71","3958347"
"72","3556110"
"73","3096512"
"74","2359439"
"75","3570115"
"76","3556148"
"77","3556158"
"78","2968436"
"79","2467205"
"80","3749734"
"81","3474545"
"82","2968434"
"83","2536332"
"84","2841308"
"85","3472090"
"86","3683651"
"87","3427853"
"88","3556232"
"89","3556274"
"90","2968363"
"91","3852783"
"92","3145955"
"93","2363784"
"94","3212348"
"95","3470340"
"96","3725922"
"97","2968432"
"98","2901769"
"99","3556198"
"100","3392890"
"101","2968279"
"102","3556116"
"103","3322077"
"104","3677197"
"105","3399398"
"106","2383777"
"107","3716664"
"108","3255507"
"109","3014671"
"110","3722316"
"111","3345107"
"112","2383880"
"113","3570050"
"114","2320071"
"115","3556308"
"116","2844250"
"117","2482932"
"118","2482933"
"119","3253443"
"120","3662236"
"121","4114579"
"122","3475038"
"123","2674317"
"124","3740648"
"125","2908474"
"126","2908505"
"127","3319313"
"128","3551689"
"129","3275404"
"130","3416492"
"131","3470422"
"132","3475030"
"133","2565269"
"134","2536402"
"135","3556094"
"136","2840752"
"137","3831302"
"138","2968399"
"139","3351767"
"140","3807488"
"141","3255513"
"142","3392880"
"143","2669979"
"144","3831178"
"145","2934274"
"146","3323824"
"147","3349660"
"148","3018484"
"149","3786868"
"150","2565935"
"151","2968401"
"152","3783565"
"153","3065740"
"154","2735027"
"155","3337042"
"156","2749380"
"157","3752271"
"158","3706659"
"159","2643217"
"160","3150579"
"161","3793827"
"162","2900940"
"163","4031692"
"164","2968349"
"165","3551851"
"166","3556202"
"167","2968377"
"168","2763154"
"169","3319323"
"170","3551855"
"171","4094247"
"172","4117552"
"173","3214800"
"174","3360401"
"175","4074842"
"176","2923661"
"177","3407583"
"178","2853426"
"179","3809690"
"180","2901712"
"181","3725856"
"182","3549757"
"183","3958347"
"184","3556110"
"185","3096512"
"186","2359439"
"187","3570115"
"188","3556148"
"189","3556158"
"190","2968436"
"191","2467205"
"192","3749734"
"193","3474545"
"194","2968434"
"195","2536332"
"196","2841308"
"197","3472090"
"198","3683651"
"199","3427853"
"200","3556232"
"201","3556274"
"202","2968363"
"203","3852783"
"204","3145955"
"205","2363784"
"206","3212348"
"207","3470340"
"208","3725922"
"209","2968432"
"210","2901769"
"211","3556198"
"212","3392890"
"213","2968279"
"214","3556116"
"215","3322077"
"216","3677197"
"217","3399398"
"218","2383777"
"219","3716664"
"220","3255507"
"221","3014671"
"222","3722316"
"223","3345107"
"224","2383880"
"225","3570050"
"226","2320071"
"227","3556308"
"228","2844250"
"229","2482932"
"230","2482933"
"231","3253443"
"232","3662236"
"233","4114579"
"234","3475038"
"235","2674317"
"236","3740648"
"237","2908474"
"238","2908505"
"239","3319313"
"240","3551689"
"241","3275404"
"242","3416492"
"243","3470422"
"244","3475030"
"245","2565269"
"246","2536402"
"247","3556094"
"248","2840752"
"249","3831302"
"250","2968399"
"251","3351767"
"252","3807488"
"253","3255513"
"254","3392880"
"255","2669979"
"256","3831178"
"257","2934274"
"258","3323824"
"259","3349660"
"260","3018484"
"261","3786868"
"262","2565935"
"263","2968401"
"264","3783565"
"265","3065740"
"266","2735027"
"267","3337042"
"268","2749380"
"269","3752271"
"270","3706659"
"271","2643217"
"272","3150579"
"273","3793827"
"274","2900940"
"275","4031692"
"276","2968349"
"277","3551851"
"278","3556202"
"279","2968377"
"280","2763154"
"281","3319323"
"282","3551855"
"283","4094247"
"284","4117552"
"285","3214800"
"286","3360401"
"287","4074842"
"288","2923661"
"289","3407583"
"290","2853426"
"291","3809690"
"292","2901712"
"293","3725856"
"294","3549757"
"295","3958347"
"296","3556110"
"297","3096512"
"298","2359439"
"299","3570115"
"300","3556148"
"301","3556158"
"302","2968436"
"303","2467205"
"304","3749734"
"305","3474545"
"306","2968434"
"307","2536332"
"308","2841308"
"309","3472090"
"310","3683651"
"311","3427853"
"312","3556232"
"313","3556274"
"314","2968363"
"315","3852783"
"316","3145955"
"317","2363784"
"318","3212348"
"319","3470340"
"320","3725922"
"321","2968432"
"322","2901769"
"323","3556198"
"324","3392890"
"325","2968279"
"326","3556116"
"327","3322077"
"328","3677197"
"329","3399398"
"330","2383777"
"331","3716664"
"332","3255507"
"333","3014671"
"334","3722316"
"335","3345107"
"336","2383880"
"337","3570050"
"338","2320071"
"339","3556308"
"340","2844250"
"341","2482932"
"342","2482933"
"343","3253443"
"344","3662236"
"345","4114579"
"346","3475038"
"347","2674317"
"348","3740648"
"349","2908474"
"350","2908505"
"351","3319313"
"352","3551689"
"353","3275404"
"354","3416492"
