"","x"
"1","2385696"
"2","2531129"
"3","2568968"
"4","2601230"
"5","2672467"
"6","2773545"
"7","2804221"
"8","2815331"
"9","2844453"
"10","3005266"
"11","3017068"
"12","3048778"
"13","3061438"
"14","3103062"
"15","3104698"
"16","3134828"
"17","3157311"
"18","3279089"
"19","3336422"
"20","3337168"
"21","3346453"
"22","3352040"
"23","3354095"
"24","3405587"
"25","3428268"
"26","3500787"
"27","3585272"
"28","3632862"
"29","3708874"
"30","3744589"
"31","3780271"
"32","3808600"
"33","3818376"
"34","3843934"
"35","3890913"
"36","2565935"
"37","3337042"
"38","3214800"
"39","3407583"
"40","2359439"
