,LD1,LD2,LD3
`2385696`,5.7280,-2.1940,-1.2448
`2406361`,-3.5563,0.1027,-0.3477
`2531129`,1.0692,-2.0555,4.3510
`2568968`,-2.2329,3.6249,1.6365
`2601230`,1.7694,1.0462,-0.7277
`2672467`,-7.1706,-3.1129,1.2574
`2674432`,-0.1243,1.0910,-0.5449
`2773545`,-2.7774,-7.4168,4.2756
`2804221`,-4.6808,-0.8265,-0.2454
`2815331`,2.9446,1.2112,1.2786
`2844453`,-0.5963,-2.1053,2.2916
`3005266`,5.1577,1.2773,0.8485
`3017068`,2.8801,3.0393,1.2594
`3048778`,-1.6484,-0.2238,0.0615
`3061438`,2.9103,-0.5434,1.0980
`3103062`,-3.6163,-4.7234,-3.1678
`3104698`,-0.0028,-7.3771,-0.6344
`3134828`,6.4466,1.6499,3.1638
`3157311`,-3.9955,0.3742,-2.9238
`3279089`,-3.9691,-3.2944,-2.2596
`3336422`,10.0712,-0.3616,5.2755
`3337168`,-0.2123,-3.4439,-3.3556
`3346453`,2.4276,2.8459,-6.4582
`3352040`,-10.3144,1.8781,3.4664
`3354095`,-7.0846,-0.4883,4.5598
`3405587`,-2.1127,-1.1268,-0.6080
`3428268`,2.7475,2.2953,-4.6352
`3500787`,-6.2232,-1.2060,0.6400
`3585272`,-1.0244,0.7076,-2.6667
`3632862`,2.8643,4.5288,5.7112
`3708874`,0.2081,2.2557,2.7805
`3744589`,1.0425,1.2394,8.6387
`3780271`,1.5551,-0.2823,-0.0014
`3808600`,4.2413,4.8395,3.3182
`3818376`,-3.0329,0.7816,2.8838
`3843934`,-6.3143,-3.4774,2.2074
`3890913`,2.1211,3.4337,-2.4684
`3475038`,0.6245,-1.2220,-0.1483
`2674317`,1.1628,0.0920,0.0770
`3556094`,0.0368,-0.0331,-0.2087
`2968399`,0.1282,-0.2311,-0.1797
`2565935`,-0.1291,0.0167,-0.0467
`2968401`,-0.8088,1.2012,0.0635
`2968349`,-0.8094,0.8172,0.4766
`3551851`,-0.5437,0.0298,0.0352
`3556202`,-1.0156,-0.9303,-0.5757
`3214800`,-1.0244,0.0691,0.0789
`3407583`,-1.2668,-0.3836,0.8366
`3809690`,0.3707,-0.1020,0.2720
`3556110`,-0.0105,0.7878,0.7073
`3096512`,-0.6465,-1.0290,-0.1823
`2359439`,-0.9641,-0.0728,-0.4220
`3556158`,-0.6409,-0.5754,-0.8347
`2968436`,-0.9927,-0.8991,0.0715
`3749734`,-1.7170,0.3316,0.3929
`2968434`,-0.5968,0.8475,0.0110
`2536332`,-0.0247,0.3999,-0.8470
`3556274`,-0.3970,-1.0805,0.1876
