,"log(mu[,1]/mu[,4])","log(mu[,2]/mu[,4])","log(mu[,3]/mu[,4])"
(Intercept),204.5224441,99.70404028,296.8188709
`2385696`,-31.72098989,-39.68131414,-23.09221225
`2406361`,15.16870518,9.103985291,7.179100362
`2531129`,-16.83749844,7.145850858,15.96550685
`2568968`,15.0617389,49.97710445,-9.561475736
`2601230`,-15.85033182,-20.6556876,-16.25880521
`2672467`,36.71016572,10.74454606,36.81121643
`2674432`,3.087161701,6.411290163,-3.597241008
`2773545`,29.32177313,-0.424557952,65.97956655
`2804221`,23.51247158,16.36206539,15.97373132
`2815331`,-18.93967158,-1.841367358,5.878157047
`2844453`,4.209688003,2.256337508,18.14690257
`3005266`,-40.3519491,-10.77740346,-10.62393554
`3017068`,-0.072406236,14.73565665,8.062463575
`3048778`,16.92986515,18.73759994,17.72448965
`3061438`,-29.97040787,-22.98903989,-11.97384973
`3103062`,18.95444905,-4.772724886,19.29497326
`3104698`,-6.163225507,-0.606022819,14.21812856
`3134828`,-27.28359431,9.175763514,6.129009519
`3157311`,22.69031523,8.528628333,16.84815841
`3279089`,6.960771456,-14.933947,5.378191142
`3336422`,-24.3728388,0.131213915,8.582839335
`3337168`,-4.170723088,-28.34136025,3.955047558
`3346453`,-35.28511124,-37.75019023,-62.28148173
`3352040`,68.93515048,55.21129698,44.19671306
`3354095`,43.07748881,38.92796439,46.35687994
`3405587`,7.881588474,1.044213235,4.318351858
`3428268`,-29.58304277,-17.8619636,-35.33401491
`3500787`,55.76085062,24.11590793,39.62086369
`3585272`,8.562131218,0.381388661,-0.198202924
`3632862`,1.436688476,36.51586772,0.980033674
`3708874`,6.895537914,44.84071831,-6.007722613
`3744589`,15.46600919,45.64931972,34.73836867
`3780271`,-10.39301319,-3.658006025,-8.14496423
`3808600`,-12.39969117,16.99528808,-7.346321361
`3818376`,-1.582242881,36.34308653,-2.863615934
`3843934`,40.557023,43.64169181,43.49048593
`3890913`,-17.72783847,4.216196587,-42.48812971
`3475038`,-7.407344703,-11.47725207,-1.487647358
`2674317`,-1.270225529,2.256891752,4.35014886
`3556094`,-0.843368664,0.966507234,-1.365308342
`2968399`,-0.140361073,1.912663803,1.457751439
`2565935`,5.689505073,4.349651324,6.410242842
`2968401`,1.849526879,3.782998049,-1.991528739
`2968349`,10.96401098,9.662961977,9.089750189
`3551851`,5.761709605,2.21134114,3.320948934
`3556202`,5.702754197,3.034307712,5.349669753
`3214800`,8.680917928,7.197696569,6.266292179
`3407583`,15.85316052,10.55203114,13.08608194
`3809690`,-2.809973647,0.189513119,-1.584926451
`3556110`,-0.021759894,6.687412438,0.388111454
`3096512`,5.569233161,1.893797838,6.578088701
`2359439`,3.160712682,-1.335959992,3.184641345
`3556158`,1.934549161,-8.873650298,0.926879271
`2968436`,8.404482039,1.690318657,11.34849887
`3749734`,8.039215107,10.57886744,2.614806125
`2968434`,3.67753259,2.694130974,-1.445814993
`2536332`,-0.615036951,-4.783499545,-5.648128886
`3556274`,-0.205570136,-2.260356851,3.045823998
