,AUC,CoxSnell,Nagelkerke,McFadden,Features
2905,81.37254902,0.256104949,0.273178612,0.106707249,2385696 3632862 3808600 diagnosis
4931,81.12200436,0.167618951,0.178793548,0.066170994,2531129 2601230 3818376 diagnosis
3008,80.88235294,0.232785753,0.248304803,0.095574646,2385696 3808600 3818376 diagnosis
4940,80.81154684,0.139225392,0.148507085,0.054073144,2531129 2601230 2968349 diagnosis
1901,80.77342048,0.240051411,0.256054839,0.099006568,2385696 2601230 3632862 diagnosis
2907,80.58278867,0.214300579,0.228587284,0.086987649,2385696 3632862 3843934 diagnosis
8167,80.53376906,0.211687545,0.225800048,0.085790132,2601230 3048778 3632862 diagnosis
7838,80.27777778,0.238031836,0.253900625,0.098049344,2601230 2674432 3632862 diagnosis
2303,80.25054466,0.143794212,0.153380492,0.055992626,2385696 3017068 2968349 diagnosis
4926,80.24509804,0.218988721,0.233587969,0.089146178,2531129 2601230 3632862 diagnosis
8123,80.20697168,0.211225536,0.225307238,0.085578812,2601230 3017068 3632862 diagnosis
2627,80.20152505,0.161262326,0.172013148,0.063427109,2385696 3336422 2968349 diagnosis
2993,80.19607843,0.156511052,0.166945122,0.061389732,2385696 3780271 2968349 diagnosis
2333,80.1416122,0.231968724,0.247433305,0.095190758,2385696 3048778 3632862 diagnosis
20687,80.09803922,0.182565014,0.194736015,0.072706026,3103062 3632862 3843934 diagnosis
2904,80.07625272,0.216656601,0.231100374,0.088070801,2385696 3632862 3780271 diagnosis
2613,80.0708061,0.209381723,0.223340504,0.084736697,2385696 3336422 3632862 diagnosis
8739,80.00544662,0.226738413,0.241854307,0.092742887,2601230 3632862 3808600 diagnosis
1915,79.99455338,0.178187296,0.190066449,0.070779616,2385696 2601230 2968349 diagnosis
2473,79.88562092,0.170343424,0.181699652,0.067353454,2385696 3104698 2968349 diagnosis
2910,79.84204793,0.21627991,0.230698571,0.087897404,2385696 3632862 2674317 diagnosis
7985,79.78213508,0.198652374,0.211895865,0.079874968,2601230 2815331 3632862 diagnosis
8738,79.74400871,0.20469448,0.218340778,0.082604727,2601230 3632862 3780271 diagnosis
2004,79.70043573,0.231592281,0.247031767,0.095014021,2385696 2674432 3632862 diagnosis
3017,79.67320261,0.194960006,0.20795734,0.078216909,2385696 3808600 2968349 diagnosis
2915,79.65686275,0.194287786,0.207240305,0.077915867,2385696 3632862 2968349 diagnosis
6057,79.48801743,0.170676687,0.182055133,0.067498362,2531129 3818376 3843934 diagnosis
2817,79.46078431,0.175911937,0.187639399,0.069782395,2385696 3428268 3780271 diagnosis
2459,79.37908497,0.226603778,0.241710696,0.092680094,2385696 3104698 3632862 diagnosis
3062,79.35729847,0.159907968,0.170568499,0.062845178,2385696 3843934 2968349 diagnosis
6062,79.25925926,0.153604549,0.163844852,0.060149055,2531129 3818376 2968399 diagnosis
3122,79.22657952,0.164123531,0.1750651,0.064659587,2385696 2674317 2968349 diagnosis
1808,79.20479303,0.159027531,0.169629367,0.062467381,2385696 2531129 2968349 diagnosis
2984,79.06862745,0.191914436,0.204708732,0.076855009,2385696 3780271 3818376 diagnosis
2058,79.0577342,0.268030306,0.285898993,0.112536044,2385696 2773545 3808600 diagnosis
2151,79.03594771,0.214508623,0.228809197,0.087083164,2385696 2815331 3632862 diagnosis
2618,78.99782135,0.207141636,0.220951078,0.083716232,2385696 3336422 3818376 diagnosis
