"","naive_bayes.gf","naive_bayes.pca","naive_bayes.features","knn.gf","knn.pca","knn.features","svm.gf","svm.pca","svm.features","logistic_regression.gf","logistic_regression.pca","logistic_regression.features","discriminant_analysis.gf","discriminant_analysis.pca","discriminant_analysis.features","decision_tree.gf","decision_tree.pca","decision_tree.features","random_forest.gf","random_forest.pca","random_forest.features"
"1","2385696","3475038","2385696","2385696","3475038","2385696","2381177","NA","2381177","2385696","3475038","3475038","2385696","3475038","2385696","2385696","2359439","2359439","2568968","NA","3157311"
"2","2406361","2674317","2406361","2406361","2674317","2406361","2385696","NA","2385696","2406361","2674317","2674317","2406361","2674317","2406361","2406361","2536332","2385696","3134828","NA","3352040"
"3","2531129","3556094","2531129","2531129","3556094","2531129","2406361","NA","2406361","2531129","3556094","3556094","2531129","3556094","2531129","2531129","2565935","2406361","3405587","NA","3744589"
"4","2568968","2968399","2568968","2568968","2968399","2568968","2414366","NA","2414366","2568968","2968399","2968399","2568968","2968399","2568968","2568968","2674317","2531129","2601230","NA","2844453"
"5","2601230","2565935","2601230","2601230","2565935","2601230","2460817","NA","2460817","2601230","2565935","2565935","2601230","2565935","2601230","2601230","2968349","2536332","3744589","NA","3556094"
"6","2672467","2968401","2672467","2672467","2968401","2672467","2485636","NA","2485636","2672467","2968401","2968401","2672467","2968401","2672467","2672467","2968399","2568968","2385696","NA","3890913"
"7","2674432","3337042","2674432","2674432","3337042","2674432","2531129","NA","2531129","2674432","3337042","3337042","2674432","3337042","2674432","2674432","2968401","2601230","3352040","NA","3134828"
"8","2773545","2968349","2773545","2773545","2968349","2773545","2531589","NA","2531589","2773545","2968349","2968349","2773545","2968349","2773545","2773545","2968434","2672467","3279089","NA","2406361"
"9","2804221","3551851","2804221","2804221","3551851","2804221","2545681","NA","2545681","2804221","3551851","3551851","2804221","3551851","2804221","2804221","2968436","2674317","3500787","NA","2773545"
"10","2815331","3556202","2815331","2815331","3556202","2815331","2547716","NA","2547716","2815331","3556202","3556202","2815331","3556202","2815331","2815331","3096512","2674432","3157311","NA","2968401"
"11","2844453","3214800","2844453","2844453","3214800","2844453","2568968","NA","2568968","2844453","3214800","3214800","2844453","3214800","2844453","2844453","3214800","2773545","3337168","NA","3337168"
"12","3005266","3407583","3005266","3005266","3407583","3005266","2592598","NA","2592598","3005266","3407583","3407583","3005266","3407583","3005266","3005266","3337042","2804221","3017068","NA","3632862"
"13","3017068","3809690","3017068","3017068","3809690","3017068","2601230","NA","2601230","3017068","3809690","3809690","3017068","3809690","3017068","3017068","3407583","2844453","3632862","NA","2568968"
"14","3048778","3556110","3048778","3048778","3556110","3048778","2672467","NA","2672467","3048778","3556110","3556110","3048778","3556110","3048778","3061438","3475038","2968349","3585272","NA","3475038"
"15","3061438","3096512","3061438","3061438","3096512","3061438","2674432","NA","2674432","3061438","3096512","3096512","3061438","3096512","3061438","3103062","3551851","2968401","3890913","NA","3500787"
"16","3103062","2359439","3103062","3103062","2359439","3103062","2678448","NA","2678448","3103062","2359439","2359439","3103062","2359439","3103062","3104698","3556094","2968434","2406361","NA","3354095"
"17","3104698","3556148","3104698","3104698","3556148","3104698","2773545","NA","2773545","3104698","3556148","3556148","3104698","3556148","3104698","3134828","3556110","2968436","3818376","NA","2968436"
"18","3134828","3556158","3134828","3134828","3556158","3134828","2804221","NA","2804221","3134828","3556158","3556158","3134828","3556158","3134828","3157311","3556148","3005266","2844453","NA","3780271"
"19","3157311","2968436","3157311","3157311","2968436","3157311","2815331","NA","2815331","3157311","2968436","2968436","3157311","2968436","3157311","3279089","3556158","3017068","2531129","NA","2385696"
"20","3279089","3749734","3279089","3279089","3749734","3279089","2844453","NA","2844453","3279089","3749734","3749734","3279089","3749734","3279089","3336422","3556202","3048778","3428268","NA","3405587"
